id,latitude,longitude,numberOfRacks,skytrainStationName,streetName,streetNumber,streetSide
1,49.2840955,-123.106071,1,,Abbott St,134,East
2,49.2834427,-123.1064141,2,,Abbott St,216,East
3,49.2795926,-123.1078211,1,,Abbott St,603,West
4,49.2793501,-123.1078143,1,,Abbott St,623,West
5,49.2793435,-123.1074331,1,,Abbott St,628,East
6,49.2901583,-123.1312417,1,,Alberni St,1600,North
7,49.2664455,-123.1105766,2,,Alberta St,2104,East
8,49.2664455,-123.1105766,2,,Alberta St,2104,East
9,49.2679307,-123.1865956,1,,Alma St,2083,West
10,49.2631462,-123.186216,1,,Alma St,2607,West
11,49.2630718,-123.1861479,1,,Alma St,2621,West
12,49.262292,-123.1532351,1,,Arbutus St,2665,West
13,49.2620673,-123.1527473,1,,Arbutus St,2696,East
14,49.2644805,-123.171416,1,,Bayswater St,2475,West
15,49.2809603,-123.1087017,2,,Beatty St,510,East
16,49.2804969,-123.109298,2,,Beatty St,546,East
17,49.2785166,-123.1131078,2,,Beatty St,733,West
18,49.2775706,-123.1134436,2,,Beatty St,788,East
19,49.2771786,-123.1140883,5,,Beatty St,808,East
20,49.2773076,-123.1148482,2,,Beatty St,837,West
21,49.2645708,-123.177737,1,,Blenheim St,2500,West
22,49.2327725,-123.0237625,1,,Boundary Rd,5675,West
23,49.2871145,-123.1178602,2,,Burrard St,401,West
24,49.2801681,-123.1271342,1,,Burrard St,1088,East
25,49.2681554,-123.1454132,1,,Burrard St,1980,East
26,49.2640931,-123.1460681,1,,Burrard St,2445,West
27,49.2856991,-123.1271568,1,,Bute St,814,East
28,49.2840173,-123.108771,2,,Cambie St,220,East
29,49.2829497,-123.1091677,1,,Cambie St,322,East
30,49.2637207,-123.1147658,1,,Cambie St,548,East
31,49.2777318,-123.1162302,3,,Cambie St,845,West
32,49.2756765,-123.1179733,2,,Cambie St,1008,South
33,49.2645598,-123.1151484,2,,Cambie St,2335,West
34,49.2595283,-123.1153338,2,,Cambie St,2893,West
35,49.2592641,-123.1152031,1,,Cambie St,2925,West
36,49.2558194,-123.1153698,1,,Cambie St,3305,West
37,49.2544865,-123.1148693,1,,Cambie St,3440,East
38,49.2497026,-123.1152041,1,,Cambie St,4030,East
39,49.2495961,-123.1151991,1,,Cambie St,4050,East
40,49.2096948,-123.1161556,4,Marine Drive,Cambie St,8430,East
41,49.2088598,-123.116863,1,,Cambie St,8500,East
42,49.2817651,-123.1041945,1,,Carrall St,360,East
43,49.2763835,-123.1445046,6,,Chestnut St,1100,East
44,49.2737894,-123.0775553,2,,Clark Drive,1215,West
45,49.2723686,-123.0776691,3,,Clark Drive,1345,West
46,49.2657659,-123.1095961,2,,Columbia St,203,North
47,49.2821393,-123.1020496,1,,Columbia St,302,East
48,49.2822562,-123.1024296,1,,Columbia St,303,West
49,49.275432,-123.0698104,1,,Commercial Drive,1025,West
50,49.2750133,-123.0697459,2,,Commercial Drive,1045,West
51,49.2745282,-123.069861,2,,Commercial Drive,1111,West
52,49.2744038,-123.0693904,1,,Commercial Drive,1132,East
53,49.274431,-123.0697538,1,,Commercial Drive,1135,West
54,49.2738497,-123.069413,1,,Commercial Drive,1204,East
55,49.2725041,-123.0697856,1,,Commercial Drive,1365,West
56,49.2701543,-123.0694612,1,,Commercial Drive,1620,East
57,49.2697401,-123.0698958,1,,Commercial Drive,1675,West
58,49.2648302,-123.0694324,1,,Commercial Drive,2210,East
59,49.2641607,-123.0699528,1,,Commercial Drive,2279,West
60,49.264293,-123.0695535,1,,Commercial Drive,2290,East
61,49.2613708,-123.0697964,1,,Commercial Drive,2598,East
62,49.2601499,-123.0701941,2,,Commercial Drive,2733,West
63,49.2589765,-123.0700724,3,,Commercial Drive,2879,West
64,49.2829271,-123.1068858,1,,Cordova St,100,South
65,49.2824309,-123.1013005,1,,Cordova St,119,North
66,49.2726896,-123.1487182,1,,Cornwall Av,1941,North
67,49.2827291,-123.1207375,1,,Cornwall Av,1945,North
68,49.2374941,-123.0321438,1,,Crowley,3425,North
69,49.2709603,-123.1476327,2,,Cypress St,1670,East
70,49.2743666,-123.1222883,1,,Davie St,216,South
71,49.2775196,-123.1270611,1,,Davie St,746,North
72,49.2822836,-123.1343653,1,,Davie St,1248,South
73,49.2867692,-123.1413041,1,,Davie St,1762,South
74,49.2924885,-123.1343324,1,,Denman St,679,West
75,49.2917744,-123.1345824,1,,Denman St,768,East
76,49.2912037,-123.1362474,1,,Denman St,823,West
77,49.2902476,-123.1375478,1,,Denman St,935,West
78,49.2891824,-123.1392249,3,,Denman St,1015,West
79,49.2883203,-123.1402162,5,,Denman St,1100,East
80,49.2876782,-123.1410182,1,,Denman St,1156,East
81,49.2571218,-123.1847928,1,,Dunbar St,3322,East
82,49.2570089,-123.1853828,1,,Dunbar St,3335,West
83,49.2559503,-123.1847742,1,,Dunbar St,3468,East
84,49.2543269,-123.185494,1,,Dunbar St,3637,West
85,49.2486203,-123.1849256,2,,Dunbar St,4250,East
86,49.2474605,-123.1855698,1,,Dunbar St,4355,West
