id,latitude,longitude,name,phone
1,49.268418,-123.080824,ProMechBC,16046003559
2,49.2754,-123.115371,JV Bike,16046303798
3,49.284313,-123.119186,Cycle City Bike Shop & Repairs,16046188626
4,49.307322,-123.037418,Dialed Bike Service,16043188015
5,49.263105,-123.104798,Bike Repair Centre,16047328008
6,49.263219,-123.108201,The Bike Doctor,16048732453
7,49.275787,-123.069234,Dream Cycle,16042533737
8,49.266216,-123.139837,Atomic Bike Shop,16047140158
9,49.26086,-123.066222,Flat Fix Bike Shop,16043126408
10,49.281488,-123.064483,Crank Culture Bicycle Repair,17785122453
11,49.253267,-123.068261,Sidesaddle Bike Shop,16044282453
12,49.281154,-123.050881,Mactalla Cycles,16047070822
13,49.27692,-123.070094,Kickstand,
14,49.263843,-123.144427,Ride On Bike Shop,16047367433
15,49.282878,-123.071713,Lanesplit Cycles,12369793528
16,49.323293,-123.101483,Steed Cycles,16049872168
17,49.22433,-122.987907,Trek Bicycle Burnaby,6044392453
18,49.222161,-122.944014,Edmonds Cycle,16045223124
19,49.221864,-122.994656,Jubilee Cycle,6044344922
20,49.259155,-122.922089,Knolly Bikes Ltd,6043246635
