objectID,bikeRouteName,Geom
226135,Fraser River Trail,"{""coordinates"": [[-123.06783987819144, 49.20714253673481], [-123.06789833836811, 49.20714619045488], [-123.06816522853416, 49.20714555650915], [-123.0682754305734, 49.207135335735686], [-123.06838378298895, 49.2071179377083], [-123.06843267175783, 49.207117908754014], [-123.06848122125356, 49.207120740483425], [-123.06852817298379, 49.20712973491607], [-123.06857234438453, 49.20714352547145], [-123.06874572054699, 49.20722767232728], [-123.06880140118554, 49.20726427700234], [-123.06886281480456, 49.2072966864261], [-123.06892924696639, 49.20732452321361], [-123.06899991465708, 49.20734746399342], [-123.06907396627437, 49.20736523041306], [-123.0691505365822, 49.207377616092316], [-123.06922870549982, 49.20738446865769], [-123.06930589788074, 49.20739003542925], [-123.06938171131304, 49.20740108111077], [-123.06945523949096, 49.20741745332989], [-123.06952561724209, 49.20743896371059], [-123.06959200677186, 49.20746536989046], [-123.06965362508299, 49.20749634851791], [-123.06970973029598, 49.20753153124129], [-123.06975966283593, 49.20757050468342], [-123.06981878320046, 49.20765059902681], [-123.06995288764212, 49.20780529088518], [-123.0699974626763, 49.2078417128043], [-123.07003303714282, 49.207882170054276], [-123.07005875847281, 49.20792570965952], [-123.0700740211247, 49.20797131552594], [-123.07007848031616, 49.20801790843178], [-123.07007203838708, 49.20806440900256], [-123.07006694973919, 49.208320481050414]], ""type"": ""LineString""}"
226138,Beach,"{""coordinates"": [[-123.12608692818607, 49.271040747418496], [-123.12690812046444, 49.27157215883551]], ""type"": ""LineString""}"
226157,Charleson Park,"{""coordinates"": [[-123.1240676173953, 49.26671198267878], [-123.12469366048455, 49.266806674080186], [-123.12503936897714, 49.266889599640926], [-123.12531979779246, 49.2670439944007], [-123.12533514648732, 49.267360516185576], [-123.12517416302859, 49.26763773838636]], ""type"": ""LineString""}"
226170,10th Ave,"{""coordinates"": [[-123.06589643445255, 49.262191632506195], [-123.06591261720204, 49.261340477855384]], ""type"": ""LineString""}"
226183,Cassiar,"{""coordinates"": [[-123.02830938347789, 49.2879387322369], [-123.02830778990091, 49.28859962001321]], ""type"": ""LineString""}"
226192,Stanley Park Trails,"{""coordinates"": [[-123.14254244822249, 49.311099512909074], [-123.14247719309266, 49.31104214415579], [-123.14233793635215, 49.310919857799284], [-123.14197337202555, 49.3105997169525], [-123.14205941914524, 49.31014265747555], [-123.14258152141525, 49.309428023836006], [-123.14244916548184, 49.308971233218934], [-123.14201155239982, 49.30868617618748], [-123.14140061951848, 49.308886842212864], [-123.1410528181214, 49.309458459295584], [-123.14109706856632, 49.309658323073016], [-123.14087964596038, 49.31000130297644], [-123.14070752879181, 49.31091542011626], [-123.14066677540535, 49.31194361611597], [-123.14018659934135, 49.31205843774062], [-123.139971956855, 49.31201486822154], [-123.13976887541892, 49.31197364554465], [-123.13970440521493, 49.31196055911994], [-123.13948728570767, 49.311916486168066], [-123.139030952406, 49.31170855045947], [-123.13801503473894, 49.31081299655482], [-123.13796241051956, 49.31073880455802], [-123.13791841095836, 49.310624618873696], [-123.13771724158532, 49.310539180117594]], ""type"": ""LineString""}"
226194,Burrard,"{""coordinates"": [[-123.14543201128758, 49.27242584249926], [-123.1454991757753, 49.270660986028695]], ""type"": ""LineString""}"
226196,Hornby,"{""coordinates"": [[-123.11582739682187, 49.286577148398834], [-123.11632802928268, 49.28624613594224]], ""type"": ""LineString""}"
226214,Alexander,"{""coordinates"": [[-123.08705884024403, 49.28340780350148], [-123.08708048655762, 49.28295773971549]], ""type"": ""LineString""}"
226372,Midtown/Ridgeway,"{""coordinates"": [[-123.09044528339318, 49.237024079281426], [-123.09046105910814, 49.23655312075587]], ""type"": ""LineString""}"
226394,Oak St Bridge,"{""coordinates"": [[-123.12991024640607, 49.204767582310204], [-123.12983643093659, 49.204600419306765], [-123.12975336252582, 49.20443511697937], [-123.12966113131053, 49.20427198914302], [-123.12960979335537, 49.20419053944913], [-123.12955973621699, 49.204111120332975], [-123.12944951871042, 49.2039528681556], [-123.12937247451852, 49.203852043396154], [-123.12933059280715, 49.20379723515682], [-123.1292571014123, 49.20370938745825], [-123.12920297483105, 49.203644666559065], [-123.12906695749601, 49.20349525915595], [-123.12885823614421, 49.2032696057906], [-123.12885820448832, 49.20326957434236], [-123.12779672430017, 49.20212220019407], [-123.12779669814599, 49.20212217233757], [-123.12586095883934, 49.200069795483195]], ""type"": ""LineString""}"
226401,Hornby,"{""coordinates"": [[-123.12008277617161, 49.28376452964822], [-123.12179065297762, 49.282634459280445]], ""type"": ""LineString""}"
226405,Cambie Bridge,"{""coordinates"": [[-123.11465086826793, 49.27378991418336], [-123.11462559639489, 49.27422245857942], [-123.11462560748673, 49.27422249904677]], ""type"": ""LineString""}"
226406,Cambie Bridge,"{""coordinates"": [[-123.11462560748673, 49.27422249904677], [-123.11460400755526, 49.27463562004907], [-123.1145937644534, 49.27483159039928], [-123.11459163974563, 49.2748722453625]], ""type"": ""LineString""}"
226432,Masumi Mitsui Greenway,"{""coordinates"": [[-123.05475258891259, 49.218567784675045], [-123.05473445081364, 49.21852983770882], [-123.05470216634293, 49.21846738081766], [-123.05468340835981, 49.21843507507326], [-123.05468276854282, 49.21843391948331], [-123.05466245515017, 49.21840074013093], [-123.05464126451913, 49.218367754588144], [-123.05463488376259, 49.218358274787235], [-123.05461924889741, 49.2183350212991], [-123.05459634102802, 49.21830256638138], [-123.054572510684, 49.21827037365726], [-123.05454791992948, 49.21823846553785], [-123.05452240121407, 49.21820682321167], [-123.05452238058932, 49.218206798934155], [-123.05449599024236, 49.21817544666123], [-123.05446889035204, 49.21814442934094], [-123.05444089959958, 49.21811369488565], [-123.0544121018164, 49.218083302624024], [-123.05438251076396, 49.21805327863531], [-123.05438105902905, 49.218051786103004], [-123.05438103152858, 49.218051752833446], [-123.05435505666331, 49.21802596031178], [-123.05431621194506, 49.21798738165496]], ""type"": ""LineString""}"
226465,Central Valley,"{""coordinates"": [[-123.07743696093041, 49.26557301179648], [-123.07743695539155, 49.26557298571411], [-123.07743706920424, 49.265567541741675], [-123.07744528955043, 49.26518509621757]], ""type"": ""LineString""}"
226508,Central Valley,"{""coordinates"": [[-123.07873031417297, 49.26519403341608], [-123.07873035403216, 49.2651940324894], [-123.0793788409388, 49.26519772388405]], ""type"": ""LineString""}"
226569,Midtown/Ridgeway,"{""coordinates"": [[-123.09362527081376, 49.23708860273577], [-123.09260943044391, 49.23706796068404], [-123.09191788473326, 49.2370539433861]], ""type"": ""LineString""}"
226588,Seaside,"{""coordinates"": [[-123.2136613357911, 49.275958204351625], [-123.2138460748219, 49.275970154532516], [-123.21399780367385, 49.2759799320519], [-123.21432738993342, 49.27598238944018], [-123.21433598138074, 49.275982453561014], [-123.21470323160116, 49.27599688007298], [-123.21490810996158, 49.276020077402165], [-123.21506583547975, 49.27603793534147]], ""type"": ""LineString""}"
226611,Quebec,"{""coordinates"": [[-123.10212575024049, 49.27749848815695], [-123.1021273717467, 49.2773516016626]], ""type"": ""LineString""}"
226617,Comox-Helmcken,"{""coordinates"": [[-123.12705471064696, 49.27978743253641], [-123.12656888453144, 49.27947328276426]], ""type"": ""LineString""}"
226650,Dumfries,"{""coordinates"": [[-123.0736391982618, 49.24017120242582], [-123.07402378343606, 49.240176970860546]], ""type"": ""LineString""}"
226665,Central Valley,"{""coordinates"": [[-123.04955414240042, 49.258386412340755], [-123.04702256270565, 49.25862804465154], [-123.04702247338578, 49.25862805638168]], ""type"": ""LineString""}"
226688,Seaside,"{""coordinates"": [[-123.1894422200758, 49.27160920272979], [-123.19037160981209, 49.271377909053776], [-123.19037164963945, 49.271377899093416]], ""type"": ""LineString""}"
226709,Cambie,"{""coordinates"": [[-123.1091830047273, 49.283368256076834], [-123.10932875466999, 49.28302560897325]], ""type"": ""LineString""}"
226710,Cambie,"{""coordinates"": [[-123.11045364688249, 49.28118630276792], [-123.11088063563646, 49.28090322213028], [-123.11088397179529, 49.280901013310995]], ""type"": ""LineString""}"
