id,count,hundredBlock,latitude,longitude,neighbourhood
1,4,10XX ALBERNI ST,49.2846246,-123.1232245,West End
2,16,10XX BARCLAY ST,49.2818886,-123.1257956,West End
3,39,10XX BEACH AVE,49.2768415,-123.1353774,West End
4,1,10XX BEATTY WALK,49.2756026,-123.1169753,Central Business District
5,8,10XX BROUGHTON ST,49.2852217,-123.1337083,West End
6,6,10XX BURNABY ST,49.2790624,-123.1317561,West End
7,44,10XX BURRARD ST,49.2801011,-123.12652,West End
8,2,10XX BUTE ST,49.2826476,-123.1301086,West End
9,4,10XX CAMBIE ST,49.2708168,-123.1148143,Central Business District
10,63,10XX CANADA PL,49.2881462,-123.1155081,Central Business District
11,1,10XX CARDERO ST,49.2866175,-123.1365226,West End
12,1,10XX CHILCO ST,49.2903012,-123.1427689,West End
13,3,10XX COMMERCIAL DR,49.2749525,-123.0693122,Grandview-Woodland
14,3,10XX COMOX ST,49.281212,-123.1285227,West End
15,1,10XX COTTON DR,49.2762217,-123.071462,Grandview-Woodland
16,5,10XX DAVIE ST,49.2798135,-123.1305445,West End
17,5,10XX DENMAN ST,49.2887538,-123.1392826,West End
18,6,10XX DUNSMUIR ST,49.2864643,-123.1220411,Central Business District
19,2,10XX E 10TH AVE,49.2612531,-123.0822056,Mount Pleasant
20,1,10XX E 11TH AVE,49.260388,-123.082192,Mount Pleasant
21,1,10XX E 12TH AVE,49.2594794,-123.0822421,Mount Pleasant
22,1,10XX E 16TH AVE,49.2561546,-123.0825679,Kensington-Cedar Cottage
23,3,10XX E 17TH AVE,49.2550698,-123.0821196,Kensington-Cedar Cottage
24,1,10XX E 18TH AVE,49.2542929,-123.0826024,Kensington-Cedar Cottage
25,1,10XX E 20TH AVE,49.2525275,-123.0826433,Kensington-Cedar Cottage
26,1,10XX E 21ST AVE,49.2515876,-123.082847,Kensington-Cedar Cottage
27,1,10XX E 39TH AVE,49.2344668,-123.0836783,Kensington-Cedar Cottage
28,1,10XX E 54TH AVE,49.2203427,-123.0839449,Sunset
29,2,10XX E 59TH AVE,49.2156324,-123.0837177,Sunset
30,3,10XX E 7TH AVE,49.2640902,-123.0820025,Mount Pleasant
31,3,10XX E 8TH AVE,49.2631256,-123.0822667,Mount Pleasant
32,1,10XX E BROADWAY AVE,49.2622523,-123.082198,Mount Pleasant
33,1,10XX E HASTINGS ST,49.2810109,-123.0818163,Strathcona
34,3,10XX E PENDER ST,49.2798733,-123.0815737,Strathcona
35,11,10XX EXPO BLVD,49.274445,-123.1174649,Central Business District
36,1,10XX GEORGE ST,49.2757306,-123.0793127,Strathcona
37,4,10XX GILFORD ST,49.2896948,-123.1412235,West End
38,17,10XX GRANVILLE ST,49.2784932,-123.1235114,Central Business District
39,3,10XX GREAT NORTHERN WAY,49.2652675,-123.0816217,Strathcona
40,5,10XX HAMILTON ST,49.2763495,-123.1203192,Central Business District
41,5,10XX HARO ST,49.2834198,-123.1255677,West End
42,12,10XX HARWOOD ST,49.2783489,-123.1326983,West End
43,11,10XX HOMER ST,49.2766448,-123.1206961,Central Business District
44,2,10XX HORNBY ST,49.2799562,-123.1255812,Central Business District
45,6,10XX HOWE ST,49.2795112,-123.1243335,Central Business District
46,4,10XX IRONWORK PASS,49.2679195,-123.1291475,Fairview
47,5,10XX JERVIS ST,49.2842559,-123.1325275,West End
48,1,10XX KEEFER ST,49.2791401,-123.0813195,Strathcona
49,3,10XX LAGOON DR,49.2933862,-123.139226,Stanley Park
50,1,10XX LAURIER AVE,49.2502957,-123.1285336,Shaughnessy
51,12,10XX MAIN ST,49.2748566,-123.0998485,Central Business District
52,6,10XX MAINLAND ST,49.2758202,-123.1198865,Central Business District
53,10,10XX MARINASIDE CRES,49.273205,-123.1165519,Central Business District
54,1,10XX MCLEAN DR,49.2757507,-123.0744396,Grandview-Woodland
55,1,10XX MELVILLE ST,49.2858469,-123.1210745,Central Business District
56,1,10XX NANTON AVE,49.2460568,-123.1288376,Shaughnessy
57,10,10XX NELSON ST,49.2820832,-123.1277384,West End
